20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_moonlightmaze.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ms_platinum.yara
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_muddywater.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_naikon.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nanocore_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nazar.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ncsc_report_04_2018.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_netwire_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_andariel_jul24.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_gen.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_goldbackdoor.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_inkysquid.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nk_tradingtech_apr23.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_nobellium_rdp_phish.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_oilrig.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_oilrig_chafer_mar18.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_oilrig_oct17.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_oilrig_rgdoor.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_olympic_destroyer.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_onhat_proxy.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_cleaver.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_cloudhopper.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_honeybee.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_shadowhammer.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_op_wocao.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_passcv.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_passthehashtoolkit.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_patchwork.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_peach_sandstorm.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_plead_downloader.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_plugx.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_poisonivy.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_poisonivy_gen3.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_poseidon_group.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_poshspy.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_prikormka.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_project_m.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_project_sauron.yara
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_project_sauron_extras.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_promethium_neodymium.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_pulsesecure.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_putterpanda.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_quarkspwdump.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_quasar_rat.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_quasar_vermin.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_rancor.yar
20250710T14:55:13Z STORRENTI LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_ransom_darkbit_feb23.yar
